distance_cost: 2.6827811042799183, orientation_cost: 0.0, position_cost: 0.07571827620267868, action_diff_cost: 1.1329389986019018e-05, action_cost: 0.17062665066026414, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6523440586553453, orientation_cost: 0.0, position_cost: 0.1185331866145134, action_diff_cost: 0.0002949263158047588, action_cost: 0.16302040816326532, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.702461665293482, orientation_cost: 0.0, position_cost: 0.1279960200190544, action_diff_cost: 5.877081859050205e-05, action_cost: 0.15959014193912857, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.685564536576703, orientation_cost: 0.0, position_cost: 0.1335034891963005, action_diff_cost: 0.13418148436366026, action_cost: 0.002019348916037004, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6708100915350284, orientation_cost: 0.0, position_cost: 0.13730864971876144, action_diff_cost: 0.11708636409773417, action_cost: 0.10342489937151332, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.693596434872804, orientation_cost: 0.0, position_cost: 0.1453564688563347, action_diff_cost: 0.05015726701803424, action_cost: 0.17229206976908415, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6581239735806177, orientation_cost: 0.0, position_cost: 0.15136104077100754, action_diff_cost: 0.011324036067759223, action_cost: 0.17870517618812232, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6610499406865222, orientation_cost: 0.0, position_cost: 0.15166830271482468, action_diff_cost: 1.577652935071866e-05, action_cost: 0.17762050702634002, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6685102679997437, orientation_cost: 0.0, position_cost: 0.15203546732664108, action_diff_cost: 0.002814533442791817, action_cost: 0.17286575806793303, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6451261834421005, orientation_cost: 0.0, position_cost: 0.1513988897204399, action_diff_cost: 0.00042125999945645184, action_cost: 0.17189181554974925, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6542089312417967, orientation_cost: 0.0, position_cost: 0.15094738453626633, action_diff_cost: 0.0005885631116598507, action_cost: 0.1769603841536614, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6440821562714434, orientation_cost: 0.0, position_cost: 0.14874856919050217, action_diff_cost: 8.800562214772819e-05, action_cost: 0.17696038415366144, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6395824107190564, orientation_cost: 0.0, position_cost: 0.14503788203001022, action_diff_cost: 0.000765804282552489, action_cost: 0.16946712802768163, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6492804992852794, orientation_cost: 0.0, position_cost: 0.16037683933973312, action_diff_cost: 0.005052313853033612, action_cost: 0.13941501306404916, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.645931750512656, orientation_cost: 0.0, position_cost: 0.15827815979719162, action_diff_cost: 0.002098011613385107, action_cost: 0.12508608149142011, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6428832627374477, orientation_cost: 0.0, position_cost: 0.15595030039548874, action_diff_cost: 0.00045434323293100013, action_cost: 0.1302179224631029, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.647235013373266, orientation_cost: 0.0, position_cost: 0.17425548285245895, action_diff_cost: 0.0007062468593426814, action_cost: 0.12236310994986228, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6427058429831876, orientation_cost: 0.0, position_cost: 0.16818474978208542, action_diff_cost: 0.0002501880349557531, action_cost: 0.11866619589012076, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.642013716596442, orientation_cost: 0.0, position_cost: 0.13336759060621262, action_diff_cost: 0.016712370744936176, action_cost: 0.10126827201468823, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.645371712191175, orientation_cost: 0.0, position_cost: 0.1486511155962944, action_diff_cost: 0.0014050163135472405, action_cost: 0.10014518748675938, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6438065887224775, orientation_cost: 0.0, position_cost: 0.14164816588163376, action_diff_cost: 1.4645574352534713e-05, action_cost: 0.10018360285290587, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.643839007372771, orientation_cost: 0.0, position_cost: 0.14323066920042038, action_diff_cost: 2.9324725443451806e-05, action_cost: 0.10033048513523057, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6420977858084282, orientation_cost: 0.0, position_cost: 0.14107596129179, action_diff_cost: 0.0004485391952648338, action_cost: 0.10154847821481534, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6468859250344563, orientation_cost: 0.0, position_cost: 0.14977674931287766, action_diff_cost: 0.04361038784415103, action_cost: 0.1480344608431608, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6441330895377715, orientation_cost: 0.0, position_cost: 0.13978879898786545, action_diff_cost: 0.01390413613956418, action_cost: 0.11570708283313327, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.643372403529215, orientation_cost: 0.0, position_cost: 0.13701241463422775, action_diff_cost: 0.06274065407573239, action_cost: 0.05468003672057059, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6401339805533115, orientation_cost: 0.0, position_cost: 0.1522458717226982, action_diff_cost: 0.0004397093849463964, action_cost: 0.05455998870136293, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6415848296267685, orientation_cost: 0.0, position_cost: 0.1516292616724968, action_diff_cost: 0.138679189322788, action_cost: 0.08411920062142508, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
distance_cost: 2.6583511247329037, orientation_cost: 0.0, position_cost: 0.16174834221601486, action_diff_cost: 0.0241053597909752, action_cost: 0.1023391003460207, suction_cost: 0.0, step_cost: 0.1, suction_reward: 3.0
